tas,Year,Month,Country
9.01249,1916,8,ARG
12.7309,1916,9,ARG
15.8964,1916,10,ARG
18.1891,1916,11,ARG
19.4874,1916,12,ARG
22.019,1917,1,ARG
20.2302,1917,2,ARG
17.0827,1917,3,ARG
13.9426,1917,4,ARG
9.38404,1917,5,ARG
8.46169,1917,6,ARG
7.03528,1917,7,ARG
8.54843,1917,8,ARG
12.3879,1917,9,ARG
14.665,1917,10,ARG
17.9261,1917,11,ARG
20.8212,1917,12,ARG
20.6938,1918,1,ARG
20.1343,1918,2,ARG
17.626,1918,3,ARG
14.6808,1918,4,ARG
9.26302,1918,5,ARG
7.18201,1918,6,ARG
7.43055,1918,7,ARG
9.2077,1918,8,ARG
10.8653,1918,9,ARG
14.6113,1918,10,ARG
17.496,1918,11,ARG
20.2266,1918,12,ARG
21.8973,1919,1,ARG
19.7798,1919,2,ARG
18.1337,1919,3,ARG
14.4687,1919,4,ARG
12.8296,1919,5,ARG
7.80919,1919,6,ARG
7.84581,1919,7,ARG
8.65681,1919,8,ARG
10.4795,1919,9,ARG
14.8157,1919,10,ARG
16.8971,1919,11,ARG
20.3822,1919,12,ARG
21.5395,1920,1,ARG
20.1434,1920,2,ARG
18.2636,1920,3,ARG
15.3326,1920,4,ARG
11.3789,1920,5,ARG
7.46458,1920,6,ARG
6.35267,1920,7,ARG
9.64483,1920,8,ARG
12.5043,1920,9,ARG
14.3321,1920,10,ARG
17.6612,1920,11,ARG
19.6931,1920,12,ARG
20.1603,1921,1,ARG
19.3611,1921,2,ARG
16.8558,1921,3,ARG
14.5739,1921,4,ARG
11.9494,1921,5,ARG
5.99041,1921,6,ARG
6.37948,1921,7,ARG
8.78141,1921,8,ARG
11.443,1921,9,ARG
14.4305,1921,10,ARG
17.5232,1921,11,ARG
20.5119,1921,12,ARG
20.3797,1922,1,ARG
19.2801,1922,2,ARG
17.3169,1922,3,ARG
13.5587,1922,4,ARG
11.0926,1922,5,ARG
6.08803,1922,6,ARG
9.09168,1922,7,ARG
8.35601,1922,8,ARG
12.4913,1922,9,ARG
13.2112,1922,10,ARG
17.9661,1922,11,ARG
19.8508,1922,12,ARG
20.621,1923,1,ARG
20.5395,1923,2,ARG
18.1543,1923,3,ARG
14.2794,1923,4,ARG
9.46111,1923,5,ARG
8.67269,1923,6,ARG
5.45,1923,7,ARG
8.17842,1923,8,ARG
11.7905,1923,9,ARG
13.0044,1923,10,ARG
17.3931,1923,11,ARG
18.8413,1923,12,ARG
20.7115,1924,1,ARG
19.907,1924,2,ARG
17.4802,1924,3,ARG
13.4505,1924,4,ARG
9.35572,1924,5,ARG
8.04967,1924,6,ARG
6.82776,1924,7,ARG
7.74336,1924,8,ARG
10.7623,1924,9,ARG
14.613,1924,10,ARG
16.8174,1924,11,ARG
20.8355,1924,12,ARG
20.8147,1925,1,ARG
20.4727,1925,2,ARG
18.8564,1925,3,ARG
14.038,1925,4,ARG
9.61286,1925,5,ARG
6.52141,1925,6,ARG
6.53613,1925,7,ARG
10.2501,1925,8,ARG
11.9088,1925,9,ARG
14.1685,1925,10,ARG
18.035,1925,11,ARG
20.1624,1925,12,ARG
21.5752,1926,1,ARG
20.9449,1926,2,ARG
19.0544,1926,3,ARG
13.6976,1926,4,ARG
9.83566,1926,5,ARG
8.48465,1926,6,ARG
7.30105,1926,7,ARG
9.92357,1926,8,ARG
11.9735,1926,9,ARG
14.9862,1926,10,ARG
17.8088,1926,11,ARG
19.9825,1926,12,ARG
20.5336,1927,1,ARG
21.6772,1927,2,ARG
18.6055,1927,3,ARG
14.7091,1927,4,ARG
10.4979,1927,5,ARG
7.20307,1927,6,ARG
7.61922,1927,7,ARG
9.69229,1927,8,ARG
11.2131,1927,9,ARG
14.846,1927,10,ARG
17.9922,1927,11,ARG
19.2799,1927,12,ARG
20.0267,1928,1,ARG
18.6815,1928,2,ARG
17.1262,1928,3,ARG
14.255,1928,4,ARG
9.8727,1928,5,ARG
6.67085,1928,6,ARG
7.54901,1928,7,ARG
8.79222,1928,8,ARG
11.5659,1928,9,ARG
15.29,1928,10,ARG
18.1047,1928,11,ARG
19.0739,1928,12,ARG
21.5597,1929,1,ARG
20.2249,1929,2,ARG
17.7869,1929,3,ARG
15.7533,1929,4,ARG
9.8439,1929,5,ARG
7.48105,1929,6,ARG
8.33242,1929,7,ARG
9.03461,1929,8,ARG
12.2931,1929,9,ARG
14.116,1929,10,ARG
18.0557,1929,11,ARG
20.0594,1929,12,ARG
21.4071,1930,1,ARG
20.5462,1930,2,ARG
17.9304,1930,3,ARG
15.2023,1930,4,ARG
10.6898,1930,5,ARG
10.4228,1930,6,ARG
6.50429,1930,7,ARG
7.59529,1930,8,ARG
12.4503,1930,9,ARG
13.6135,1930,10,ARG
17.2836,1930,11,ARG
20.0496,1930,12,ARG
20.5417,1931,1,ARG
20.9345,1931,2,ARG
17.6707,1931,3,ARG
13.4048,1931,4,ARG
8.10295,1931,5,ARG
6.60047,1931,6,ARG
7.13691,1931,7,ARG
8.51518,1931,8,ARG
10.2784,1931,9,ARG
15.4836,1931,10,ARG
16.0815,1931,11,ARG
20.2749,1931,12,ARG
21.7073,1932,1,ARG
20.1539,1932,2,ARG
18.4062,1932,3,ARG
14.3775,1932,4,ARG
9.51108,1932,5,ARG
8.05554,1932,6,ARG
9.39292,1932,7,ARG
8.03844,1932,8,ARG
11.9092,1932,9,ARG
14.863,1932,10,ARG
18.4002,1932,11,ARG
19.7722,1932,12,ARG
20.2263,1933,1,ARG
19.681,1933,2,ARG
17.1753,1933,3,ARG
14.8328,1933,4,ARG
11.2056,1933,5,ARG
7.83444,1933,6,ARG
6.06298,1933,7,ARG
10.0218,1933,8,ARG
11.7221,1933,9,ARG
14.9989,1933,10,ARG
17.459,1933,11,ARG
18.895,1933,12,ARG
21.7637,1934,1,ARG
18.7492,1934,2,ARG
17.7344,1934,3,ARG
12.5155,1934,4,ARG
10.4501,1934,5,ARG
8.15074,1934,6,ARG
7.88358,1934,7,ARG
9.42267,1934,8,ARG
11.0286,1934,9,ARG
13.6365,1934,10,ARG
16.1335,1934,11,ARG
18.78,1934,12,ARG
20.5153,1935,1,ARG
19.9801,1935,2,ARG
19.3058,1935,3,ARG
13.4863,1935,4,ARG
12.5608,1935,5,ARG
8.84049,1935,6,ARG
7.13384,1935,7,ARG
9.57734,1935,8,ARG
10.4098,1935,9,ARG
12.5214,1935,10,ARG
17.6693,1935,11,ARG
19.1875,1935,12,ARG
20.6371,1936,1,ARG
19.8076,1936,2,ARG
17.8014,1936,3,ARG
14.082,1936,4,ARG
10.1507,1936,5,ARG
7.57365,1936,6,ARG
8.23855,1936,7,ARG
7.90644,1936,8,ARG
11.6802,1936,9,ARG
14.4282,1936,10,ARG
17.102,1936,11,ARG
19.3685,1936,12,ARG
20.8396,1937,1,ARG
20.5231,1937,2,ARG
17.2037,1937,3,ARG
14.1339,1937,4,ARG
9.76263,1937,5,ARG
9.03091,1937,6,ARG
7.0854,1937,7,ARG
8.90469,1937,8,ARG
11.1658,1937,9,ARG
13.4937,1937,10,ARG
17.2595,1937,11,ARG
20.0239,1937,12,ARG
19.4476,1938,1,ARG
19.5438,1938,2,ARG
16.6804,1938,3,ARG
12.3947,1938,4,ARG
10.9224,1938,5,ARG
8.01924,1938,6,ARG
7.5161,1938,7,ARG
7.65581,1938,8,ARG
11.7935,1938,9,ARG
14.8038,1938,10,ARG
17.0855,1938,11,ARG
20.4589,1938,12,ARG
21.2924,1939,1,ARG
19.3746,1939,2,ARG
16.8927,1939,3,ARG
12.3529,1939,4,ARG
10.6754,1939,5,ARG
9.19345,1939,6,ARG
8.32358,1939,7,ARG
10.4555,1939,8,ARG
11.1523,1939,9,ARG
14.3423,1939,10,ARG
15.7253,1939,11,ARG
18.3654,1939,12,ARG
20.046,1940,1,ARG
19.4828,1940,2,ARG
16.8103,1940,3,ARG
13.6057,1940,4,ARG
11.2683,1940,5,ARG
9.16532,1940,6,ARG
9.10973,1940,7,ARG
8.02602,1940,8,ARG
11.4919,1940,9,ARG
12.8915,1940,10,ARG
16.5646,1940,11,ARG
19.1765,1940,12,ARG
20.6472,1941,1,ARG
18.4425,1941,2,ARG
16.3373,1941,3,ARG
12.7943,1941,4,ARG
9.42724,1941,5,ARG
8.38759,1941,6,ARG
8.65595,1941,7,ARG
9.90356,1941,8,ARG
10.0011,1941,9,ARG
15.6223,1941,10,ARG
16.3322,1941,11,ARG
19.5093,1941,12,ARG
21.4455,1942,1,ARG
20.0894,1942,2,ARG
16.4803,1942,3,ARG
13.6427,1942,4,ARG
9.28751,1942,5,ARG
5.77895,1942,6,ARG
5.82463,1942,7,ARG
8.7667,1942,8,ARG
11.8302,1942,9,ARG
14.6486,1942,10,ARG
18.4792,1942,11,ARG
20.6289,1942,12,ARG
21.3804,1943,1,ARG
21.214,1943,2,ARG
17.0538,1943,3,ARG
14.0042,1943,4,ARG
11.4431,1943,5,ARG
7.97773,1943,6,ARG
8.57188,1943,7,ARG
6.84577,1943,8,ARG
11.567,1943,9,ARG
15.4979,1943,10,ARG
16.8424,1943,11,ARG
20.5303,1943,12,ARG
20.1266,1944,1,ARG
20.4295,1944,2,ARG
17.6462,1944,3,ARG
14.0807,1944,4,ARG
10.9444,1944,5,ARG
8.49775,1944,6,ARG
8.32113,1944,7,ARG
9.88528,1944,8,ARG
13.7945,1944,9,ARG
15.2414,1944,10,ARG
17.3912,1944,11,ARG
21.2533,1944,12,ARG
22.0225,1945,1,ARG
19.7648,1945,2,ARG
17.9916,1945,3,ARG
15.4907,1945,4,ARG
11.3587,1945,5,ARG
7.91333,1945,6,ARG
7.26775,1945,7,ARG
10.9851,1945,8,ARG
12.6456,1945,9,ARG
16.3251,1945,10,ARG
17.1838,1945,11,ARG
19.6663,1945,12,ARG
19.8078,1946,1,ARG
20.5445,1946,2,ARG
16.9185,1946,3,ARG
14.7199,1946,4,ARG
10.5543,1946,5,ARG
6.79656,1946,6,ARG
7.12187,1946,7,ARG
9.34772,1946,8,ARG
12.1959,1946,9,ARG
14.2503,1946,10,ARG
17.682,1946,11,ARG
18.9395,1946,12,ARG
20.6321,1947,1,ARG
20.2774,1947,2,ARG
17.4339,1947,3,ARG
13.5614,1947,4,ARG
10.8596,1947,5,ARG
9.77881,1947,6,ARG
6.73078,1947,7,ARG
8.17241,1947,8,ARG
11.0656,1947,9,ARG
14.8515,1947,10,ARG
18.7315,1947,11,ARG
19.4254,1947,12,ARG
20.9974,1948,1,ARG
19.8821,1948,2,ARG
16.6039,1948,3,ARG
13.9196,1948,4,ARG
10.7532,1948,5,ARG
9.01071,1948,6,ARG
7.09821,1948,7,ARG
7.46282,1948,8,ARG
12.4947,1948,9,ARG
14.4355,1948,10,ARG
17.3674,1948,11,ARG
21.1456,1948,12,ARG
21.176,1949,1,ARG
19.4952,1949,2,ARG
17.2789,1949,3,ARG
15.0535,1949,4,ARG
10.694,1949,5,ARG
8.32031,1949,6,ARG
7.22418,1949,7,ARG
8.94907,1949,8,ARG
11.3662,1949,9,ARG
13.5966,1949,10,ARG
18.8289,1949,11,ARG
20.0563,1949,12,ARG
20.9042,1950,1,ARG
20.3959,1950,2,ARG
18.1143,1950,3,ARG
14.7355,1950,4,ARG
10.8892,1950,5,ARG
8.7944,1950,6,ARG
8.0537,1950,7,ARG
9.51442,1950,8,ARG
10.1106,1950,9,ARG
13.613,1950,10,ARG
16.2426,1950,11,ARG
19.6261,1950,12,ARG
20.6597,1951,1,ARG
18.245,1951,2,ARG
17.1912,1951,3,ARG
13.2073,1951,4,ARG
11.9992,1951,5,ARG
9.14808,1951,6,ARG
8.91522,1951,7,ARG
10.2856,1951,8,ARG
11.4478,1951,9,ARG
15.1028,1951,10,ARG
17.7013,1951,11,ARG
19.699,1951,12,ARG
21.8127,1952,1,ARG
20.7761,1952,2,ARG
18.6656,1952,3,ARG
14.3287,1952,4,ARG
11.7139,1952,5,ARG
5.45669,1952,6,ARG
8.6113,1952,7,ARG
9.12153,1952,8,ARG
11.8377,1952,9,ARG
14.5441,1952,10,ARG
17.183,1952,11,ARG
19.9001,1952,12,ARG
20.7904,1953,1,ARG
21.4421,1953,2,ARG
18.3122,1953,3,ARG
13.7405,1953,4,ARG
11.2315,1953,5,ARG
8.08459,1953,6,ARG
5.34257,1953,7,ARG
10.6421,1953,8,ARG
13.2452,1953,9,ARG
13.3343,1953,10,ARG
17.5899,1953,11,ARG
20.0232,1953,12,ARG
20.5929,1954,1,ARG
20.4845,1954,2,ARG
18.7963,1954,3,ARG
13.548,1954,4,ARG
9.15761,1954,5,ARG
7.2764,1954,6,ARG
6.37448,1954,7,ARG
9.2049,1954,8,ARG
10.4629,1954,9,ARG
13.9577,1954,10,ARG
18.3564,1954,11,ARG
20.0826,1954,12,ARG
22.0983,1955,1,ARG
19.5804,1955,2,ARG
16.6695,1955,3,ARG
13.6872,1955,4,ARG
9.44217,1955,5,ARG
7.24883,1955,6,ARG
5.01824,1955,7,ARG
8.2593,1955,8,ARG
11.071,1955,9,ARG
13.6169,1955,10,ARG
18.8864,1955,11,ARG
19.621,1955,12,ARG
19.0464,1956,1,ARG
19.2522,1956,2,ARG
17.2823,1956,3,ARG
12.1633,1956,4,ARG
7.97806,1956,5,ARG
7.23813,1956,6,ARG
8.02266,1956,7,ARG
8.73122,1956,8,ARG
11.2342,1956,9,ARG
14.3383,1956,10,ARG
17.6467,1956,11,ARG
20.06,1956,12,ARG
21.3026,1957,1,ARG
19.0929,1957,2,ARG
19.2082,1957,3,ARG
12.968,1957,4,ARG
12.3524,1957,5,ARG
7.12499,1957,6,ARG
6.08748,1957,7,ARG
8.66637,1957,8,ARG
10.5907,1957,9,ARG
14.5216,1957,10,ARG
17.396,1957,11,ARG
19.6227,1957,12,ARG
21.0193,1958,1,ARG
19.5518,1958,2,ARG
17.713,1958,3,ARG
14.2154,1958,4,ARG
9.63426,1958,5,ARG
8.6032,1958,6,ARG
10.7774,1958,7,ARG
7.65244,1958,8,ARG
11.7932,1958,9,ARG
15.7789,1958,10,ARG
17.142,1958,11,ARG
18.2606,1958,12,ARG
19.4719,1959,1,ARG
20.34,1959,2,ARG
17.2235,1959,3,ARG
11.8814,1959,4,ARG
9.74195,1959,5,ARG
7.99557,1959,6,ARG
8.20474,1959,7,ARG
8.16124,1959,8,ARG
11.6086,1959,9,ARG
14.0931,1959,10,ARG
17.0253,1959,11,ARG
19.664,1959,12,ARG
21.8636,1960,1,ARG
21.163,1960,2,ARG
17.7689,1960,3,ARG
14.2241,1960,4,ARG
10.1337,1960,5,ARG
7.76243,1960,6,ARG
6.82961,1960,7,ARG
9.26405,1960,8,ARG
11.781,1960,9,ARG
14.3984,1960,10,ARG
17.7984,1960,11,ARG
20.0535,1960,12,ARG
20.7451,1961,1,ARG
19.7824,1961,2,ARG
17.233,1961,3,ARG
13.544,1961,4,ARG
11.833,1961,5,ARG
7.05848,1961,6,ARG
7.15447,1961,7,ARG
10.7802,1961,8,ARG
11.0943,1961,9,ARG
15.3917,1961,10,ARG
18.0518,1961,11,ARG
20.0377,1961,12,ARG
20.3264,1962,1,ARG
19.9582,1962,2,ARG
19.2365,1962,3,ARG
13.2801,1962,4,ARG
10.0683,1962,5,ARG
7.54423,1962,6,ARG
5.27903,1962,7,ARG
9.06832,1962,8,ARG
12.1927,1962,9,ARG
14.7407,1962,10,ARG
19.1789,1962,11,ARG
20.6652,1962,12,ARG
20.6369,1963,1,ARG
20.6096,1963,2,ARG
17.0977,1963,3,ARG
15.247,1963,4,ARG
10.8003,1963,5,ARG
8.25447,1963,6,ARG
8.95876,1963,7,ARG
9.11961,1963,8,ARG
10.3536,1963,9,ARG
13.843,1963,10,ARG
15.4443,1963,11,ARG
19.556,1963,12,ARG
21.18,1964,1,ARG
19.7521,1964,2,ARG
16.283,1964,3,ARG
13.9123,1964,4,ARG
11.5668,1964,5,ARG
5.96129,1964,6,ARG
6.79275,1964,7,ARG
8.7368,1964,8,ARG
11.4836,1964,9,ARG
13.9946,1964,10,ARG
16.9899,1964,11,ARG
18.9089,1964,12,ARG
20.9624,1965,1,ARG
20.4288,1965,2,ARG
17.3551,1965,3,ARG
13.6212,1965,4,ARG
9.66898,1965,5,ARG
10.9477,1965,6,ARG
6.64698,1965,7,ARG
9.56271,1965,8,ARG
11.051,1965,9,ARG
15.3459,1965,10,ARG
18.1049,1965,11,ARG
18.3437,1965,12,ARG
20.8989,1966,1,ARG
18.0655,1966,2,ARG
17.7022,1966,3,ARG
14.6597,1966,4,ARG
11.7145,1966,5,ARG
9.05563,1966,6,ARG
7.43701,1966,7,ARG
8.20972,1966,8,ARG
10.8125,1966,9,ARG
14.1844,1966,10,ARG
18.0362,1966,11,ARG
18.5874,1966,12,ARG
20.4903,1967,1,ARG
20.1132,1967,2,ARG
17.2114,1967,3,ARG
15.3661,1967,4,ARG
13.0399,1967,5,ARG
5.06633,1967,6,ARG
7.41243,1967,7,ARG
8.86162,1967,8,ARG
11.6984,1967,9,ARG
14.8891,1967,10,ARG
17.9374,1967,11,ARG
21.1451,1967,12,ARG
20.8644,1968,1,ARG
20.2668,1968,2,ARG
17.1222,1968,3,ARG
13.0317,1968,4,ARG
10.6161,1968,5,ARG
8.41054,1968,6,ARG
9.63014,1968,7,ARG
10.2925,1968,8,ARG
11.8464,1968,9,ARG
14.1447,1968,10,ARG
19.428,1968,11,ARG
19.4369,1968,12,ARG
21.297,1969,1,ARG
20.1807,1969,2,ARG
17.828,1969,3,ARG
14.9523,1969,4,ARG
11.6188,1969,5,ARG
8.00015,1969,6,ARG
8.42027,1969,7,ARG
8.44131,1969,8,ARG
12.6957,1969,9,ARG
14.0744,1969,10,ARG
17.7658,1969,11,ARG
20.9216,1969,12,ARG
20.3221,1970,1,ARG
20.9986,1970,2,ARG
18.0267,1970,3,ARG
16.3444,1970,4,ARG
10.793,1970,5,ARG
7.58758,1970,6,ARG
7.95917,1970,7,ARG
8.79402,1970,8,ARG
13.3859,1970,9,ARG
14.4541,1970,10,ARG
16.9233,1970,11,ARG
19.7084,1970,12,ARG
19.1919,1971,1,ARG
18.733,1971,2,ARG
17.3129,1971,3,ARG
12.3352,1971,4,ARG
9.47901,1971,5,ARG
5.51745,1971,6,ARG
8.81531,1971,7,ARG
9.61903,1971,8,ARG
13.2649,1971,9,ARG
14.9467,1971,10,ARG
18.7483,1971,11,ARG
20.349,1971,12,ARG
21.5599,1972,1,ARG
20.3556,1972,2,ARG
16.6139,1972,3,ARG
14.0198,1972,4,ARG
11.3329,1972,5,ARG
8.58025,1972,6,ARG
7.10476,1972,7,ARG
7.89247,1972,8,ARG
12.1451,1972,9,ARG
13.4062,1972,10,ARG
16.7603,1972,11,ARG
20.0974,1972,12,ARG
20.6293,1973,1,ARG
20.0692,1973,2,ARG
18.3228,1973,3,ARG
13.6655,1973,4,ARG
9.92996,1973,5,ARG
8.54718,1973,6,ARG
5.71564,1973,7,ARG
8.55387,1973,8,ARG
11.077,1973,9,ARG
14.7636,1973,10,ARG
16.7682,1973,11,ARG
19.2563,1973,12,ARG
20.5403,1974,1,ARG
18.3352,1974,2,ARG
17.6886,1974,3,ARG
14.428,1974,4,ARG
10.7922,1974,5,ARG
7.30073,1974,6,ARG
8.29478,1974,7,ARG
8.88178,1974,8,ARG
10.4046,1974,9,ARG
14.8039,1974,10,ARG
17.3644,1974,11,ARG
18.7941,1974,12,ARG
20.9107,1975,1,ARG
19.9685,1975,2,ARG
17.2855,1975,3,ARG
14.3994,1975,4,ARG
10.9759,1975,5,ARG
9.63051,1975,6,ARG
6.4355,1975,7,ARG
8.14799,1975,8,ARG
11.8168,1975,9,ARG
14.6957,1975,10,ARG
16.578,1975,11,ARG
20.4314,1975,12,ARG
20.434,1976,1,ARG
19.7775,1976,2,ARG
15.5605,1976,3,ARG
13.049,1976,4,ARG
10.521,1976,5,ARG
7.04736,1976,6,ARG
7.12228,1976,7,ARG
8.55323,1976,8,ARG
11.4357,1976,9,ARG
14.3622,1976,10,ARG
17.4876,1976,11,ARG
19.0037,1976,12,ARG
20.6601,1977,1,ARG
19.6017,1977,2,ARG
17.9824,1977,3,ARG
14.8047,1977,4,ARG
10.182,1977,5,ARG
8.90086,1977,6,ARG
7.71704,1977,7,ARG
8.98369,1977,8,ARG
13.1238,1977,9,ARG
15.931,1977,10,ARG
17.6705,1977,11,ARG
20.0618,1977,12,ARG
20.2747,1978,1,ARG
19.9638,1978,2,ARG
17.9761,1978,3,ARG
14.5122,1978,4,ARG
10.7177,1978,5,ARG
7.60817,1978,6,ARG
9.36265,1978,7,ARG
7.93981,1978,8,ARG
12.6997,1978,9,ARG
14.9191,1978,10,ARG
17.621,1978,11,ARG
20.453,1978,12,ARG
21.6216,1979,1,ARG
20.3428,1979,2,ARG
17.3616,1979,3,ARG
13.6161,1979,4,ARG
10.6191,1979,5,ARG
7.82998,1979,6,ARG
8.90929,1979,7,ARG
10.8811,1979,8,ARG
10.4335,1979,9,ARG
14.7645,1979,10,ARG
16.2687,1979,11,ARG
19.434,1979,12,ARG
21.6865,1980,1,ARG
20.226,1980,2,ARG
19.8752,1980,3,ARG
13.9893,1980,4,ARG
11.6268,1980,5,ARG
7.54516,1980,6,ARG
6.93286,1980,7,ARG
9.56786,1980,8,ARG
11.9871,1980,9,ARG
14.8195,1980,10,ARG
16.7984,1980,11,ARG
20.1539,1980,12,ARG
20.1731,1981,1,ARG
20.4704,1981,2,ARG
17.7669,1981,3,ARG
14.4449,1981,4,ARG
12.5833,1981,5,ARG
7.43063,1981,6,ARG
7.71075,1981,7,ARG
10.2773,1981,8,ARG
10.9785,1981,9,ARG
14.9327,1981,10,ARG
17.3947,1981,11,ARG
20.0165,1981,12,ARG
21.3329,1982,1,ARG
19.3255,1982,2,ARG
17.8857,1982,3,ARG
15.2218,1982,4,ARG
12.1214,1982,5,ARG
7.17314,1982,6,ARG
7.16238,1982,7,ARG
9.86974,1982,8,ARG
12.4753,1982,9,ARG
14.5995,1982,10,ARG
17.1265,1982,11,ARG
20.642,1982,12,ARG
21.5634,1983,1,ARG
19.8637,1983,2,ARG
17.9002,1983,3,ARG
14.359,1983,4,ARG
10.3595,1983,5,ARG
5.81376,1983,6,ARG
6.45059,1983,7,ARG
8.40953,1983,8,ARG
10.7452,1983,9,ARG
15.6967,1983,10,ARG
18.2527,1983,11,ARG
21.5727,1983,12,ARG
21.4844,1984,1,ARG
20.0998,1984,2,ARG
17.5489,1984,3,ARG
13.158,1984,4,ARG
9.83757,1984,5,ARG
5.19243,1984,6,ARG
6.24636,1984,7,ARG
7.60043,1984,8,ARG
